locus_tag	ftype	length_bp	gene	EC_number	COG	product
KJMONHIK_00001	gene	84				
KJMONHIK_00001	tRNA	84				tRNA-Leu(caa)
KJMONHIK_00002	gene	777	spo0M			
KJMONHIK_00002	CDS	777	spo0M		COG4326	Sporulation-control protein spo0M
KJMONHIK_00003	gene	198				
KJMONHIK_00003	CDS	198				hypothetical protein
KJMONHIK_00004	gene	240				
KJMONHIK_00004	CDS	240				hypothetical protein
KJMONHIK_00005	gene	693				
KJMONHIK_00005	CDS	693				hypothetical protein
KJMONHIK_00006	gene	1776	thiC			
KJMONHIK_00006	CDS	1776	thiC	4.1.99.17	COG0422	Phosphomethylpyrimidine synthase
KJMONHIK_00007	gene	180				
KJMONHIK_00007	CDS	180				hypothetical protein
KJMONHIK_00008	gene	1452	katA_1			
KJMONHIK_00008	CDS	1452	katA_1	1.11.1.6	COG0753	Vegetative catalase
KJMONHIK_00009	gene	897	ssuB			
KJMONHIK_00009	CDS	897	ssuB	3.6.3.-	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
KJMONHIK_00010	gene	999	ssuA			
KJMONHIK_00010	CDS	999	ssuA		COG0715	Putative aliphatic sulfonates-binding protein
KJMONHIK_00011	gene	831	ssuC_1			
KJMONHIK_00011	CDS	831	ssuC_1		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
KJMONHIK_00012	gene	1137	ssuD			
KJMONHIK_00012	CDS	1137	ssuD	1.14.14.5	COG2141	Alkanesulfonate monooxygenase
KJMONHIK_00013	gene	507				
KJMONHIK_00013	CDS	507				hypothetical protein
KJMONHIK_00014	gene	270	rpsN2			
KJMONHIK_00014	CDS	270	rpsN2		COG0199	Alternate 30S ribosomal protein S14
KJMONHIK_00015	gene	474				
KJMONHIK_00015	CDS	474				hypothetical protein
KJMONHIK_00016	gene	204				
KJMONHIK_00016	CDS	204				hypothetical protein
KJMONHIK_00017	gene	74				
KJMONHIK_00017	tRNA	74				tRNA-Gly(tcc)
KJMONHIK_00018	gene	624				
KJMONHIK_00018	CDS	624				hypothetical protein
KJMONHIK_00019	gene	1161	queG			
KJMONHIK_00019	CDS	1161	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
KJMONHIK_00020	gene	918				
KJMONHIK_00020	CDS	918				hypothetical protein
KJMONHIK_00021	gene	474	trmL			
KJMONHIK_00021	CDS	474	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
KJMONHIK_00022	gene	642				
KJMONHIK_00022	CDS	642				hypothetical protein
KJMONHIK_00023	gene	714				
KJMONHIK_00023	CDS	714				hypothetical protein
KJMONHIK_00024	gene	708				
KJMONHIK_00024	CDS	708				hypothetical protein
KJMONHIK_00025	gene	1896				
KJMONHIK_00025	CDS	1896				hypothetical protein
KJMONHIK_00026	gene	1179				
KJMONHIK_00026	CDS	1179				hypothetical protein
KJMONHIK_00027	gene	465				
KJMONHIK_00027	CDS	465				hypothetical protein
KJMONHIK_00028	gene	633	aaeA			
KJMONHIK_00028	CDS	633	aaeA			p-hydroxybenzoic acid efflux pump subunit AaeA
KJMONHIK_00029	gene	1599	emrB			
KJMONHIK_00029	CDS	1599	emrB			Multidrug export protein EmrB
KJMONHIK_00030	gene	531	pnpB			
KJMONHIK_00030	CDS	531	pnpB	1.6.5.6		p-benzoquinone reductase
KJMONHIK_00031	gene	375				
KJMONHIK_00031	CDS	375				hypothetical protein
KJMONHIK_00032	gene	762				
KJMONHIK_00032	CDS	762				hypothetical protein
KJMONHIK_00033	gene	366	ytrA_1			
KJMONHIK_00033	CDS	366	ytrA_1		COG1725	HTH-type transcriptional repressor YtrA
KJMONHIK_00034	gene	699	ytrB_1			
KJMONHIK_00034	CDS	699	ytrB_1		COG1131	ABC transporter ATP-binding protein YtrB
KJMONHIK_00035	gene	918	bcrA_1			
KJMONHIK_00035	CDS	918	bcrA_1			Bacitracin transport ATP-binding protein BcrA
KJMONHIK_00036	gene	495				
KJMONHIK_00036	CDS	495				hypothetical protein
KJMONHIK_00037	gene	609				
KJMONHIK_00037	CDS	609				hypothetical protein
KJMONHIK_00038	gene	204	cspB			
KJMONHIK_00038	CDS	204	cspB		COG1278	Cold shock protein CspB
KJMONHIK_00039	gene	831	metQ_1			
KJMONHIK_00039	CDS	831	metQ_1		COG1464	Methionine-binding lipoprotein MetQ
KJMONHIK_00040	gene	1080				
KJMONHIK_00040	CDS	1080				hypothetical protein
KJMONHIK_00041	gene	1392	tcyP			
KJMONHIK_00041	CDS	1392	tcyP		COG1823	L-cystine uptake protein TcyP
KJMONHIK_00042	gene	438				
KJMONHIK_00042	CDS	438				hypothetical protein
KJMONHIK_00043	gene	588	yhcN			
KJMONHIK_00043	CDS	588	yhcN			putative spore germination lipoprotein YhcN
KJMONHIK_00044	gene	969				
KJMONHIK_00044	CDS	969				hypothetical protein
KJMONHIK_00045	gene	654				
KJMONHIK_00045	CDS	654				hypothetical protein
KJMONHIK_00046	gene	3585	yhcR			
KJMONHIK_00046	CDS	3585	yhcR	3.1.31.-	COG0737	Endonuclease YhcR
KJMONHIK_00047	gene	597	srtD			
KJMONHIK_00047	CDS	597	srtD	3.4.22.-	COG3764	Sortase D
KJMONHIK_00048	gene	909	rluD_1			
KJMONHIK_00048	CDS	909	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
KJMONHIK_00049	gene	396				
KJMONHIK_00049	CDS	396				hypothetical protein
KJMONHIK_00050	gene	423	hrp1_1			
KJMONHIK_00050	CDS	423	hrp1_1		COG0517	Hypoxic response protein 1
KJMONHIK_00051	gene	663	cbbY			
KJMONHIK_00051	CDS	663	cbbY	3.1.3.-	COG0637	Protein CbbY
KJMONHIK_00052	gene	1542				
KJMONHIK_00052	CDS	1542				hypothetical protein
KJMONHIK_00053	gene	915				
KJMONHIK_00053	CDS	915				hypothetical protein
KJMONHIK_00054	gene	1338	tpa			
KJMONHIK_00054	CDS	1338	tpa	2.6.1.77	COG0161	Taurine--pyruvate aminotransferase
KJMONHIK_00055	gene	555	glpP			
KJMONHIK_00055	CDS	555	glpP		COG1954	Glycerol uptake operon antiterminator regulatory protein
KJMONHIK_00056	gene	825	glpF			
KJMONHIK_00056	CDS	825	glpF		COG0580	Glycerol uptake facilitator protein
KJMONHIK_00057	gene	1491	glpK			
KJMONHIK_00057	CDS	1491	glpK	2.7.1.30	COG0554	Glycerol kinase
KJMONHIK_00058	gene	1665	glpD			
KJMONHIK_00058	CDS	1665	glpD	1.1.5.3	COG0578	Aerobic glycerol-3-phosphate dehydrogenase
KJMONHIK_00059	gene	1746	pgcA			
KJMONHIK_00059	CDS	1746	pgcA	5.4.2.2		Phosphoglucomutase
KJMONHIK_00060	gene	1143				
KJMONHIK_00060	CDS	1143				hypothetical protein
KJMONHIK_00061	gene	648	liaR_1			
KJMONHIK_00061	CDS	648	liaR_1		COG2197	Transcriptional regulatory protein LiaR
KJMONHIK_00062	gene	525	azr			
KJMONHIK_00062	CDS	525	azr	1.7.-.-	COG0431	FMN-dependent NADPH-azoreductase
KJMONHIK_00063	gene	243				
KJMONHIK_00063	CDS	243				hypothetical protein
KJMONHIK_00064	gene	324				
KJMONHIK_00064	CDS	324				hypothetical protein
KJMONHIK_00065	gene	1443	lytF			
KJMONHIK_00065	CDS	1443	lytF	3.4.-.-	COG0791	Peptidoglycan endopeptidase LytF
KJMONHIK_00066	gene	441	nsrR			
KJMONHIK_00066	CDS	441	nsrR		COG1959	HTH-type transcriptional repressor NsrR
KJMONHIK_00067	gene	1527				
KJMONHIK_00067	CDS	1527				hypothetical protein
KJMONHIK_00068	gene	1407				
KJMONHIK_00068	CDS	1407				hypothetical protein
KJMONHIK_00069	gene	1377	phoA			
KJMONHIK_00069	CDS	1377	phoA	3.1.3.1	COG1785	Alkaline phosphatase 4
KJMONHIK_00070	gene	1014	lytE			
KJMONHIK_00070	CDS	1014	lytE	3.4.-.-		putative peptidoglycan endopeptidase LytE
KJMONHIK_00071	gene	876	cysL_1			
KJMONHIK_00071	CDS	876	cysL_1		COG0583	HTH-type transcriptional regulator CysL
KJMONHIK_00072	gene	1101	citA			
KJMONHIK_00072	CDS	1101	citA	2.3.3.16	COG0372	Citrate synthase 1
KJMONHIK_00073	gene	870	ydaD_1			
KJMONHIK_00073	CDS	870	ydaD_1	1.-.-.-		General stress protein 39
KJMONHIK_00074	gene	1398	yhdG_1			
KJMONHIK_00074	CDS	1398	yhdG_1		COG0531	putative amino acid permease YhdG
KJMONHIK_00075	gene	1356				
KJMONHIK_00075	CDS	1356				hypothetical protein
KJMONHIK_00076	gene	1410	gabR_1			
KJMONHIK_00076	CDS	1410	gabR_1		COG1167	HTH-type transcriptional regulatory protein GabR
KJMONHIK_00077	gene	429				
KJMONHIK_00077	CDS	429				hypothetical protein
KJMONHIK_00078	gene	291	yhdK			
KJMONHIK_00078	CDS	291	yhdK			putative anti-sigma-M factor YhdK
